paperid,doi,shortnormname,soundex,normname,magid,s2id,lvl0,lvl1,affid
1903212600,10.1007/978-3-540-69858-6_23,afavenza,A416,alfredo favenza,2344680491,3058601,55143463,41008148,28490314
2144344993,10.1504/ijica.2011.041913,abhuvaneswari,A115,a bhuvaneswari,2650108144,1749812,198604109,41008148,77088390
2144344993,10.1504/ijica.2011.041913,abhuvaneswari,A115,a bhuvaneswari,2650108144,1749812,"","",115903868
2344440426,10.1109/tvcg.2015.2498554,afofonov,A421,alexey fofonov,2033684996,2843050,193619901,41008148,124101348
200999418,10.1007/978-3-642-31075-1_21,avafaeinezhad,A462,ali reza vafaeinezhad,2761646316,20872251,110525433,41008148,42475967
2070692345,10.1137/s0097539701387039,apavan,A361,a pavan,2150759953,1989403,"",33923547,118615104
2070692345,10.1137/s0097539701387039,apavan,A361,a pavan,2150759953,1989403,"","",114614502
2596146415,10.1147/jrd.2016.2628658,abivens,A451,alan bivens,270424785,144708445,"",41008148,115903868
2698964826,10.1016/j.amc.2017.06.003,abobon,A110,a bobon,2184647401,31091134,119004910,41008148,134306372
1978909963,10.1145/2656450.2656476,avihavainen,A631,arto vihavainen,2028882092,1772044,133731052,41008148,107457646
1978909963,10.1145/2656450.2656476,avihavainen,A631,arto vihavainen,2028882092,1772044,"","",49774154
1966017288,10.1007/s00224-007-9071-0,apavan,A361,a pavan,2150759953,1989403,173911158,33923547,114614502
1966017288,10.1007/s00224-007-9071-0,apavan,A361,a pavan,2150759953,1989403,"","",118615104
2091291136,10.1016/j.cam.2008.10.047,apapini,A425,alessandra papini,2153130893,34569262,"",33923547,126255220
2419008052,10.1109/jsac.2016.2577360,abeben,A536,a beben,2085622678,3134692,108403487,41008148,31258907
2419008052,10.1109/jsac.2016.2577360,abeben,A536,a beben,2085622678,3134692,"","",79403827
2019032547,10.1145/2674683.2674692,avihavainen,A631,arto vihavainen,2028882092,1772044,133731052,41008148,199360897
2025202891,10.1016/s0360-8352(99)00096-0,aebiefung,A525,aniekan a ebiefung,208714894,2156786,177097968,127413603,87717796
2025202891,10.1016/s0360-8352(99)00096-0,aebiefung,A525,aniekan a ebiefung,208714894,2156786,"","",134560507
2068123526,10.1007/s10951-008-0072-x,apepin,A521,annsophie pepin,2462535888,46824733,"",33923547,126255220
2130937434,10.1109/tvlsi.2009.2022269,apapanikolaou,A123,apostolos papanikolaou,2086577668,1804062,99464096,127413603,119599485
2130937434,10.1109/tvlsi.2009.2022269,apapanikolaou,A123,apostolos papanikolaou,2086577668,1804062,"","",24326235
2617311619,10.1162/jocn_a_01147,apapanicolaou,A536,andrew c papanicolaou,2892751861,3123903,160606119,15744967,180747234
2617311619,10.1162/jocn_a_01147,apapanicolaou,A536,andrew c papanicolaou,2892751861,3123903,1288882113,"",""
2169059324,10.1109/tsp.2009.2020363,apapandreousuppappola,A535,antonia papandreousuppappola,297891418,1400878863,55732556,41008148,76155785
2169059324,10.1109/tsp.2009.2020363,apapandreousuppappola,A535,antonia papandreousuppappola,297891418,1400878863,"","",24890656
2264893711,10.1145/2858796.2858798,avihavainen,A631,arto vihavainen,2028882092,1772044,133731052,41008148,56739046
2264893711,10.1145/2858796.2858798,avihavainen,A631,arto vihavainen,2028882092,1772044,"","",2522767166
2047713589,10.1145/1330598.1330728,apopandreeva,A541,anelia popandreeva,2642338137,2622543,24768866,41008148,199360897
2047713589,10.1145/1330598.1330728,apopandreeva,A541,anelia popandreeva,2642338137,2622543,"","",77088390
2102717117,10.1109/iv.2011.63,afabian,A536,andrew j fabian,2109031096,21439891,44265643,41008148,80444323
2119578975,10.1109/ipdps.2005.362,apippin,A211,a pippin,1987136090,2714435,1324840837,41008148,126255220
2119578975,10.1109/ipdps.2005.362,apippin,A211,a pippin,1987136090,2714435,"","",120314980
2043044929,10.1016/0362-546x(89)90031-x,afavini,A524,angelo favini,2095487658,2050208,9360294,33923547,202444582
2043044929,10.1016/0362-546x(89)90031-x,afavini,A524,angelo favini,2095487658,2050208,"","",134306372
2073711740,10.1145/2110170.2110177,apaffenholz,A536,andreas paffenholz,111077391,1973072,31512782,33923547,125565743
2073711740,10.1145/2110170.2110177,apaffenholz,A536,andreas paffenholz,111077391,1973072,"","",118615104
2139725931,10.1109/tsp.2006.890916,apapandreousuppappola,A535,antonia papandreousuppappola,297891418,1400878863,55732556,121332964,76155785
2139725931,10.1109/tsp.2006.890916,apapandreousuppappola,A535,antonia papandreousuppappola,297891418,1400878863,"","",134306372
2030917112,10.1145/508791.508841,avivanco,A536,andres de vivanco,2761393464,35167140,106959904,41008148,111919701
2030917112,10.1145/508791.508841,avivanco,A536,andres de vivanco,2761393464,35167140,"","",38652104
2067736766,10.1137/070708032,apapini,A425,alessandra papini,2153130893,34569262,"",33923547,126255220
